Ara; Joáo Donato e Caetano Veloso; 0-Ara-Joáo Donato e Caetano Veloso.pdf
Adriana; Roberto Menescal e Lula Freire; 1-Adriana-Roberto Menescal e Lula Freire.pdf
Agua de beber; Tom Jobim e Vinicius de Moraes; 3-Agua de beber-Tom Jobim e Vinicius de Moraes.pdf
Ahl, se ea padesse; Roberto Menescal e Ronaldo Bóscoli; 5-Ahl, se ea padesse-Roberto Menescal e Ronaldo Bóscoli.pdf
Amanhecendo; Roberto Menescal e Lula Freire; 7-Amanhecendo-Roberto Menescal e Lula Freire.pdf
Até parece; Carlos Lyra; 9-Até parece-Carlos Lyra.pdf
Atrás da porta; Francis Hime e Chico Buarque; 11-Atrás da porta-Francis Hime e Chico Buarque.pdf
Avarandado; Caetano Veloso; 13-Avarandado-Caetano Veloso.pdf
Balan90 Zona Sal; Tito Madi; 15-Balan90 Zona Sal-Tito Madi.pdf
Batucada surgiu; Marcos Valle e Paulo Sérgio Valle; 17-Batucada surgiu-Marcos Valle e Paulo Sérgio Valle.pdf
Bim bom; Joáo Gilberto; 18-Bim bom-Joáo Gilberto.pdf
Brigas DaDca mais; Tom Jobim e Vinicius de Moraes; 19-Brigas DaDca mais-Tom Jobim e Vinicius de Moraes.pdf
Caminhos; Tom Jobim e Newton MendoncA; 21-Caminhos-Tom Jobim e Newton MendoncA.pdf
Can9áo do amor demais; Tom Jobim e Vinicius de Moraes; 23-Can9áo do amor demais-Tom Jobim e Vinicius de Moraes.pdf
Come90a de brincadeira; Pacífico Mascarenhas; 24-Come90a de brincadeira-Pacífico Mascarenhas.pdf
Carta ao Tom 74; Toquinho e Vinicius de Moraes; 25-Carta ao Tom 74-Toquinho e Vinicius de Moraes.pdf
Ciúme; Carlos Lyra; 27-Ciúme-Carlos Lyra.pdf
CODsola9áo; Baden Powell e Vinicius de Moraes; 29-CODsola9áo-Baden Powell e Vinicius de Moraes.pdf
Deia; Baden Powell e Vinicius de Moraes; 31-Deia-Baden Powell e Vinicius de Moraes.pdf
Discassáo; Tom Jobim e Newton MendoncA; 32-Discassáo-Tom Jobim e Newton MendoncA.pdf
Demais; Tom Jobim e Aloysio de Ouveira; 33-Demais-Tom Jobim e Aloysio de Ouveira.pdf
Deas brasileiro; Marcos Valle e Paulo Sérgio Valle; 35-Deas brasileiro-Marcos Valle e Paulo Sérgio Valle.pdf
Dindi; Tom Jobim e Aloysio de Oliveira; 37-Dindi-Tom Jobim e Aloysio de Oliveira.pdf
Evemosol; Marcos Valle e Paulo Sérgio Valle; 39-Evemosol-Marcos Valle e Paulo Sérgio Valle.pdf
EDqaanto a tristeza Dáo vem; Serojo Ricardo; 41-EDqaanto a tristeza Dáo vem-Serojo Ricardo.pdf
Hó-Bá-Lá-Lá; Joáo Gilberto; 42-MISSING_TITLE_42-Joáo Gilberto.pdf
Esse mando é mea; Sérgio Ricardo e Ruy Guerra; 43-Esse mando é mea-Sérgio Ricardo e Ruy Guerra.pdf
Esse mando é mea; Sérgio Ricardo e Ruy Guerra; 44-Esse mando é mea-Sérgio Ricardo e Ruy Guerra.pdf
Estrada do sol; Tom Jobim e Dolores Duran; 46-Estrada do sol-Tom Jobim e Dolores Duran.pdf
Ea sei que vou te amar; Tom Jobim e Vinicius de Moraes; 48-Ea sei que vou te amar-Tom Jobim e Vinicius de Moraes.pdf
Falando de amor; Tom Jobim; 50-Falando de amor-Tom Jobim.pdf
Feio nao é bonito; Carlos Lyra e Gianfrancesco Gvarnieri; 52-Feio nao é bonito-Carlos Lyra e Gianfrancesco Gvarnieri.pdf
Folha de papel; Sérgio Ricardo; 54-Folha de papel-Sérgio Ricardo.pdf
Imagem; Luiz Ega e Aloysio de Olivelra; 56-Imagem-Luiz Ega e Aloysio de Olivelra.pdf
Innuencia do jazz; Carloslyra; 58-Innuencia do jazz-Carloslyra.pdf
Inátil paisagem; Tom Jobim e Aloysio de Ouveira; 60-Inátil paisagem-Tom Jobim e Aloysio de Ouveira.pdf
o astronauta; Baden Powell e Vinicius de Moraes; 61-o astronauta-Baden Powell e Vinicius de Moraes.pdf
Maria Ninguém; Carlos Lyra; 62-Maria Ninguém-Carlos Lyra.pdf
Mas que nada; Jorge Benjor; 64-Mas que nada-Jorge Benjor.pdf
