artist                                            ; title
Joáo Donato e Caetano Veloso                      ; Ara
Roberto Menescal e Lula Freire                    ; Adriana
Tom Jobim e Vinicius de Moraes                    ; Agua de beber
Roberto Menescal e Ronaldo Bóscoli                ; Ahl, se ea padesse
Roberto Menescal e Lula Freire                    ; Amanhecendo.
Carlos Lyra                                       ; Até parece
Francis Hime e Chico Buarque                      ; Atrás da porta
Caetano Veloso                                    ; Avarandado
Tito Madi                                         ; Balan90 Zona Sal
Marcos Valle e Paulo Sérgio Valle                 ; Batucada surgiu
Joáo Gilberto                                     ; Bim bom
Tom Jobim e Vinicius de Moraes                    ; Brigas DaDca mais
Tom Jobim e Newton MendoncA                       ; Caminhos
Tom Jobim e Vinicius de Moraes                    ; Can9áo do amor demais
Pacífico Mascarenhas                              ; Come90a de brincadeira
Toquinho e Vinicius de Moraes                     ; Carta ao Tom 74
Carlos Lyra                                       ; Ciúme
Baden Powell e Vinicius de Moraes                 ; CODsola9áo
Baden Powell e Vinicius de Moraes                 ; Deia
Tom Jobim e Newton MendoncA                       ; Discassáo
Tom Jobim e Aloysio de Ouveira                    ; Demais
Marcos Valle e Paulo Sérgio Valle                 ; Deas brasileiro
Tom Jobim e Aloysio de Oliveira                   ; Dindi
Marcos Valle e Paulo Sérgio Valle                 ; Evemosol
Serojo Ricardo                                    ; EDqaanto a tristeza Dáo vem
Joáo Gilberto                                     ; Hó-Bá-Lá-Lá
Sérgio Ricardo e Ruy Guerra                       ; Esse mando é mea
Sérgio Ricardo e Ruy Guerra                       ; Esse mando é mea
Tom Jobim e Dolores Duran                         ; Estrada do sol
Tom Jobim e Vinicius de Moraes                    ; Ea sei que vou te amar
Tom Jobim                                         ; Falando de amor
Carlos Lyra e Gianfrancesco Gvarnieri             ; Feio nao é bonito
Sérgio Ricardo                                    ; Folha de papel
Luiz Ega e Aloysio de Olivelra                    ; Imagem
Carloslyra                                        ; Innuencia do jazz
Tom Jobim e Aloysio de Ouveira                    ; Inátil paisagem
Baden Powell e Vinicius de Moraes                 ; o astronauta
Carlos Lyra                                       ; Maria Ninguém
Jorge Benjor                                      ; Mas que nada
Carlos Lyra e Vinicius de Moraes                  ; Minha namorada
Billy Blanco                                      ; Mocinho bonito
Roberto Menescal e Ronaldo Boscoli                ; Nóseomar
Roberto Menescal e Ronaldo Bóscoli                ; o barqainho
Sérgio Ricardo                                    ; Poema azul
Baden Powell e Vinicius de Moraes                 ; Pra que chorar
Marcos Valle e Paulo Sérgio Valle                 ; Preciso aprender a ser só
Eumir Deodato e Paulo Sérgio Valle                ; Razáo de vi ver
Tom Jobim e Chico Buarque                         ; Retrato em branco e preto
Pingarilho e Marcos Vasconcews                    ; Samba de rei
Baden Powell e Billy Blanco                       ; Samba triste
Baden Powell e Vinicius de Moraes                 ; Samba em preládio
Carlos Lyra e Ronaldo Bóscou                      ; Saudade fezum samba
Tom Jobim                                         ; Só em teas bra90s
Tom Jobim e Aloysio de Oliveira                   ; Só tinha de ser com voce
Marcos Valle e Paulo Sérgio Valle                 ; SODho de Maria
Baden Powell e Vinicius de Moraes                 ; Tem dó
Roberto Menescal e Lula Freire                    ; Ve
Carlos Lyra e Marino Pinto                        ; Velhos tempos
Roberto Menescal e Ronaldo Bóscou                 ; Voce


Carlos Lyra e Vinicius de Moraes                  ; Voce e ea
Francis Hime e Chico Buarque                      ; A noiva da cidade
Tom Jobim                                         ; Aguas de marco
Tom Jobim                                         ; Ana Luiza
Baden Powell e Vinicius de Moraes                 ; Amei tanto
Baden Powell e Vinicius de Moraes                 ; Apelo
Sergio Ricardo                                    ; Auséncia de vocé
Marcos Valle e Ruy Guerra                         ; Blocodo eu sozinho
Baden Powell e Vinicius de Moraes C               ; Berimbau
Roberto Menescal e Chico Buarque                  ; Bye, bye Brasil
Marcos Valle e Paulo Sergio Valle                 ; Desejo do mar
¢ Carlos Lyra e Ronaldo Boscoli 2                 ; Cancao que morre no ar |
7 Jorge Benjor                                    ; Chove chuva
7] F Tom Jobim                                    ; J Este seu olhar
T Carlos Lyrae Vinicius de Moraes                 ; Coisa mais linda
Tom Jobim e Newton Mendonca =                     ; Desafinado _
F Caetano Veloso -                                ; De manha 7
' Johnny Alf —                                    ; Songbook 0 Bossa Nova 4
¢ Tom Jobim e Vinicius de Moraes                  ; Songbook D Bossa Nowa Tt
Renato Ladeirae Cazuza                            ; _ Faz parte do meu show
Gilberto Gil                                      ; Eu vim da Bahia
J Baden Powell                                    ; Feitinha pro poeta
Chico Feitosa e Ronaldo Boscoli F                 ; Fim de noite
Joao Donato e Joao Gilberto                       ; mn
U Tom Jobim                                       ; Foi a noite
¢ Johnny Alf                                      ; Ilusao a toa
Carlos Lyra e Ronaldo Boscoli                     ; Lobo bobo
' Joao Donato e Gilberto Gil                      ; Lugar comum
' Luiz Bonfa e Antonio Maria                      ; Manha de carnaval
Carlos Lyra e Vinicius de Moraes                  ; Marcha da quarta-feira de cinzas
F Carlos Lyrae Vinicius de Moraes                 ; Maria Moita
: Gilberto Gil                                    ; Me perdoe Maria
Francis Hime e Ruy Guerra                         ; Minha
Carlos Lyra e Dolores Duran                       ; O negocio é amar
T Tom Jobim e Vinicius de Moraes                  ; O nosso amor
Tom Jobim e Aloysio de Oliveira                   ; Samba torto
Sergio Ricardo                                    ; O nosso olhar
Johnny Alf                                        ; O que é amar
Tom Jobim e Vinicius de Moraes                    ; O que tinha de ser
¢ Tom Jobim                                       ; Outra vez
Tom Jobim e Dolores Duran                         ; Por causa de vocé
Carlos Lyra                                       ; Quando chegares
$ / Johnny Alf                                    ; . Rapaz de bem
Carlos Lyra e Vinicius de Moraes                  ; Sabe voce
Baden Powell e Vinicius de Moraes                 ; Samba da bencao
: G ¢ Pingarilho e Marcos Vasconcelos             ; | Samba da pergunta
Carlos Lyra e Vinicius de Moraes                  ; Samba do carioca
Carlos Lyra e Vinicius de Moraes                  ; Samba do carioca
“Marcos Valle, Pingarilho e Paulo Sergio Valle    ; Seu encanto
Francis Hime e Vinicius de Moraes                 ; Sem mais adeus
' Tom Jobim e Vinicius de Moraes                  ; So danco samba
“ Roberto Menescal e Ronaldo Boscoli              ; Tete
7  Francis                                        ; J Valsa-rancho
F Marcos Valle e Paulo Sergio Valle               ; Sonho de lugar
Boberto Menescal e Ronaldo Boscoli                ; Telefone
Marcos Valle e Paulo Sergio Valle                 ; Terra de ninguem
I Francis Hime e Chico Buarque                    ; Trocando em mitudos
Francis Hime e Ruy Guerra                         ; Ultimo canto
Roberto Menescal e Ronaldo Boscoli                ; Vagamente
Marcos Valle e Paulo Sergio Valle                 ; Amor de nada
Tom Jobime Vinicius de Moraes                     ; felicidade
Francis Hime e Paulo Cesar Pinheiro               ; A grande ausente
Roberto Menescal e Ronaldo Boscoli                ; A morte de um deus de sal
Roberto Menescal e Ronaldo Boscoli                ; A volta
Luiz Ega e Fernanda Quindere                      ; Alegria de viver
Edu Lobo e Vinicius de Moraes                     ; Arrastao
Joao Donatoe Lysias Enio                          ; Até quem sabe
Almir Chediak e Moraes Moreira                    ; Bom. de viver
Edu Lobo                                          ; Boranda
Dalton                                            ; Cancao do nosso amor
Baden Powell e Vinicius de Moraes                 ; Canto de Ossanha
Edu Lobo e Vinicius de Moraes                     ; Canto triste
Johnny Alf =                                      ; Ceu e mar
Oscar Castro Neves e Luvercy Fiorini ~            ; Chora tua tristeza
Johnny Alf e Mauricio Einhorn                     ; Disa
Billy Blanco                                      ; Domingo azul
Marcos Valle e Pingarilho. I                      ; Dorme profundo
Durval Ferreira e Lula Freire                     ; E nada mais
Tom Jobim e Vinicius de Moraes                    ; Ela é carioca
Tom Jobim e Billy Blanco 7                        ; Esperanca perdida
Ugo Marotta e Vica Gifoni                         ; Espere um pouco
Tom Jobim                                         ; Esquecendo vocé
Johnny Alf                                        ; Fim de semana em Eldorado
Marcos Valle e Paulo Sergio Valle                 ; Gente
Tom Jobime Vinicius de Moraes :                   ; Insensatez
- Tom Jobim e Vinicius de Moraes                  ; O morro nao tem vez
Tom Jobim                                         ; Ligia
Tom Jobim                                         ; Luiza
Carlos Lyra e Nelson Lins e Barros                ; Maria do Maranhao vi
Sergio Ricardo A                                  ; Maxima culpa i
Carlos Lyra                                       ; Menina
Johnny Alf                                        ; Nos
Marcos Valle e Paulo Sergio Valle                 ; O amor é chama
Chico Feitosa e Lula Freire                       ; O amor que acabou
Neuza Teixeira e Jaime Silva                      ; O pato
Ed Lincolne Silvio Cesar :                        ; Olhou pra mim
Chico Buarque                                     ; Olé, ola
Marcos Valle e Paulo Sergio Valle Ke              ; Passa por mim :
Pac{Fico Mascarenhas                              ; Pouca duracao
Marcos Valle, Novelli e Paulo Sergio Valle        ; Pelas ruas do Recife
Sergio Ricardo                                    ; Pernas
Francis Hime e Ruy Guerra .                       ; Por um amor maior
Tom Jobim e Vinicius de Moraes                    ; Praias desertas
Carlos Lyra e Vinicius de Moraes                  ; Primavera é
. Edu Loboe Ruy Guerra                            ; Reza
Roberto Menescal e Ronaldo Boscoli                ; Rio
Marcos Valle e Paulo Sergio Valle                 ; Samba de verao
Carlos Lyra                                       ; 7So mesmo por amor
Carlos Lyrae Vinicius de Moraes                   ; Também quem mandou
Vera Brazil e Silvan Castelo Neto                 ; Tema do boneco de palha
Carlos Lyra See 7                                 ; Tem do de mim
Tom Jobim e Billy Blanco                          ; Tereza da praia
Tom Jobim                                         ; 3 eee Seyi
: Tom Jobim                                       ; eVivo sonhando
